lat,lon,country,state,elevation,region,is_near_boundary
-1.5345833333333339,-78.67208333333333,Ecuador,Chimborazo,3723.0,Chimborazo,True
-1.5354166666666673,-80.27208333333333,Ecuador,Manabí,131.0,Manabí,True
-1.5354166666666673,-78.60541666666667,Ecuador,Chimborazo,3745.0,Chimborazo,True
-1.5362500000000008,-80.20541666666666,Ecuador,Manabí,86.0,Manabí,True
-1.5362500000000008,-78.53875,Ecuador,Chimborazo,2430.0,Chimborazo,True
-1.5379166666666677,-78.40541666666667,Ecuador,Chimborazo,3131.0,Chimborazo,True
-1.5387500000000012,-78.33875,Ecuador,Morona Santiago,3041.0,Morona Santiago,True
-1.5395833333333337,-78.27208333333333,Ecuador,Morona Santiago,2055.0,Morona Santiago,True
-1.5404166666666672,-79.87208333333334,Ecuador,Guayas,15.0,Guayas,True
-1.5412500000000007,-78.13875,Ecuador,Morona Santiago,1154.0,Morona Santiago,True
-1.5420833333333341,-78.07208333333334,Ecuador,Morona Santiago,1016.0,Morona Santiago,True
-1.5429166666666676,-78.00541666666666,Ecuador,Pastaza,952.0,Pastaza,True
-1.547083333333334,-79.33875,Ecuador,Los Ríos,166.0,Los Ríos,True
-1.5479166666666675,-79.27208333333333,Ecuador,Los Ríos,1053.0,Los Ríos,True
-1.548750000000001,-80.87208333333334,Ecuador,Manabí,0.0,Manabí,True
-1.552083333333334,-78.93875,Ecuador,Bolívar,3651.0,Bolívar,True
-1.552083333333334,-75.60541666666667,Ecuador,Pastaza,204.0,Pastaza,True
-1.5529166666666674,-78.87208333333334,Ecuador,Chimborazo,3946.0,Chimborazo,True
-1.5554166666666678,-78.67125,Ecuador,Chimborazo,3564.0,Chimborazo,True
-1.5562500000000004,-80.27125,Ecuador,Manabí,100.0,Manabí,True
-1.5570833333333338,-80.20375,Ecuador,Manabí,57.0,Manabí,True
-1.5587500000000007,-78.40375,Ecuador,Chimborazo,3164.0,Chimborazo,True
-1.5595833333333342,-78.33708333333334,Ecuador,Morona Santiago,2767.0,Morona Santiago,True
-1.5604166666666677,-78.27041666666666,Ecuador,Morona Santiago,2423.0,Morona Santiago,True
-1.5612500000000011,-79.87041666666667,Ecuador,Guayas,9.0,Guayas,True
-1.5629166666666672,-78.07041666666666,Ecuador,Morona Santiago,1091.0,Morona Santiago,True
-1.5637500000000006,-78.00375,Ecuador,Pastaza,948.0,Pastaza,True
-1.5687500000000005,-79.27041666666666,Ecuador,Los Ríos,1042.0,Los Ríos,True
-1.569583333333334,-80.87041666666667,Ecuador,Manabí,0.0,Manabí,True
-1.5704166666666675,-80.80375,Ecuador,Manabí,61.0,Manabí,True
-1.5720833333333344,-75.67041666666667,Ecuador,Pastaza,182.0,Pastaza,True
-1.572916666666667,-78.93708333333333,Ecuador,Bolívar,3663.0,Bolívar,True
-1.572916666666667,-75.60375,Ecuador,Pastaza,184.0,Pastaza,True
-1.5737500000000004,-78.87041666666667,Ecuador,Chimborazo,3854.0,Chimborazo,True
-1.5770833333333343,-80.27041666666666,Ecuador,Guayas,88.0,Guayas,True
-1.5779166666666677,-80.20375,Ecuador,Guayas,66.0,Guayas,True
-1.5795833333333338,-78.40375,Ecuador,Chimborazo,3242.0,Chimborazo,True
-1.5804166666666672,-78.33708333333334,Ecuador,Morona Santiago,3194.0,Morona Santiago,True
-1.5820833333333342,-79.87041666666667,Ecuador,Guayas,11.0,Guayas,True
-1.583750000000001,-78.07041666666666,Ecuador,Morona Santiago,1119.0,Morona Santiago,True
-1.5845833333333337,-78.00375,Ecuador,Pastaza,999.0,Pastaza,True
-1.588750000000001,-79.33708333333334,Ecuador,Los Ríos,329.0,Los Ríos,True
-1.5895833333333345,-79.27041666666666,Ecuador,Bolívar,586.0,Bolívar,True
-1.590416666666667,-80.87041666666667,Ecuador,NA,0.0,Ecuador (NA),True
